run,family,dimension,operation,cloned_mean_ns,cloned_lower_95_ns,cloned_upper_95_ns,borrowed_mean_ns,borrowed_lower_95_ns,borrowed_upper_95_ns,change_pct
initial,wide256,3,solve_row_cleared_bareiss,10624.208302421386,10579.985479512608,10671.391771825865,10456.667371303733,10436.07916775459,10479.025522238,-1.5769733268451547
initial,wide256,4,det_row_cleared_bareiss,25352.323355173943,25267.77191581821,25448.246916435804,25037.640689938828,24973.884450922378,25101.549364207294,-1.2412379758121594
initial,wide256,4,det_sign_row_cleared_bareiss,9430.921035213689,9377.132331574598,9497.354867126516,9115.643351213552,9093.660430146396,9138.988007981305,-3.3430211410204413
initial,wide256,4,solve_row_cleared_bareiss,25285.26194400333,25168.53977769464,25430.734186889767,24825.860375934244,24785.51199214454,24867.445033740274,-1.8168748620697506
initial,wide256,5,det_row_cleared_bareiss,38252.50404843747,38180.790806119345,38331.56197656211,37992.04108929013,37900.54499752998,38080.20857128972,-0.6809043371841184
initial,wide256,5,det_sign_row_cleared_bareiss,17621.665126750704,17567.21707640123,17678.9420169646,17347.705683297558,17266.435677339636,17434.311109382827,-1.5546739850212044
initial,wide256,5,solve_row_cleared_bareiss,46680.67589099785,46539.23674886819,46835.28584005561,46638.58752762666,46489.869365577644,46790.69660247468,-0.0901622835741911
initial,wide256,6,det_row_cleared_bareiss,59533.005932178196,59432.83857947927,59640.08643419085,58985.41158823068,58874.96078086254,59093.54160011237,-0.9198163865123066
initial,wide256,6,det_sign_row_cleared_bareiss,33023.2444010067,32936.518247991975,33118.18543809107,32627.98068194596,32539.086815338476,32718.193364538743,-1.1969257601130434
initial,wide256,6,solve_row_cleared_bareiss,87622.78002780314,87427.941335558,87810.97532440156,88824.76264105625,88682.9902878769,88968.99210965159,1.3717695476812342
initial,wide256,7,det_row_cleared_bareiss,94040.02652774118,93734.90168518898,94405.43648443207,93056.29027932379,92923.96714340567,93192.84596302501,-1.0460824871494467
initial,wide256,7,det_sign_row_cleared_bareiss,59848.71974345715,59740.22457442797,59960.21900966058,59271.00755393324,59118.60860265242,59431.173828763945,-0.9652874647950505
initial,wide256,7,solve_row_cleared_bareiss,161160.49889090724,160932.17417696677,161381.93275767018,164003.36100295276,163493.94548583557,164555.4348477847,1.7639943606589936
initial,wide256,8,det_row_cleared_bareiss,148409.984607296,147336.76823238845,149650.54109030575,145935.82405576986,145775.91488136782,146105.51459694983,-1.6671119251665978
initial,wide256,8,det_sign_row_cleared_bareiss,104036.49845363051,103829.41331378683,104250.44637532049,103602.19807549684,103321.91316432835,103904.15791994733,-0.4174500147438587
initial,wide256,8,solve_row_cleared_bareiss,285550.81273397425,284954.9646277508,286193.4876907683,291018.82417213346,289828.5814214202,292384.94267804286,1.914899623575339
repeat,small,8,solve_row_cleared_bareiss,42048.84657584045,41926.943649787136,42174.46105046291,41833.37102734208,41617.73126706454,42060.07120394692,-0.5124410442739036
repeat,wide256,2,det_row_cleared_bareiss,9571.799337584047,9524.037117801725,9619.550393113404,9698.927944880726,9621.179023807637,9781.197317790604,1.328157881428882
