schema_version,suite,scope,benchmark_id,group,benchmark,baseline_benchmark,coverage_status,coverage_note,baseline_median_ns,baseline_ci_lower_ns,baseline_ci_upper_ns,current_median_ns,current_ci_lower_ns,current_ci_upper_ns,baseline_nalgebra_median_ns,baseline_nalgebra_ci_lower_ns,baseline_nalgebra_ci_upper_ns,baseline_faer_median_ns,baseline_faer_ci_lower_ns,baseline_faer_ci_upper_ns
1,exact,release-signal,exact_d2/det,exact_d2,det,det,comparable,,0.43847576051642734,0.43771116413319694,0.44014508325985335,0.43781032284173355,0.43749994941412362,0.43847175207245848,,,,,,
1,exact,release-signal,exact_d2/det_direct,exact_d2,det_direct,det_direct,comparable,,0.43890208644314921,0.43801797286422228,0.44270725973824282,0.43764312485011625,0.43733467617422683,0.43807259563263068,,,,,,
1,exact,release-signal,exact_d2/det_direct_with_errbound,exact_d2,det_direct_with_errbound,det_direct_with_errbound,comparable,,1.7075903619994319,1.7070745586021363,1.7081829879281933,1.7073013705766971,1.7063923650432029,1.7079640536051874,,,,,,
1,exact,release-signal,exact_d2/det_errbound,exact_d2,det_errbound,det_errbound,comparable,,1.6517834250166323,1.6332174430567585,1.6587981067136037,1.61087434662331,1.6106233733633932,1.6110668547700691,,,,,,
1,exact,release-signal,exact_d2/det_exact,exact_d2,det_exact,det_exact,comparable,,110.54949764112055,110.4165319475389,110.67008305854891,100.38341954181654,100.25860606191442,100.45874695478162,,,,,,
1,exact,release-signal,exact_d2/det_exact_f64_result,exact_d2,det_exact_f64_result,det_exact_f64_result,comparable,,71.304186348617947,71.229325899010149,71.450055510936835,73.121377825013496,72.948086424304989,73.239383718656114,,,,,,
1,exact,release-signal,exact_d2/det_exact_rounded_f64,exact_d2,det_exact_rounded_f64,det_exact_rounded_f64,comparable,,72.703499508377547,72.59951086170598,72.749777314686838,73.289869358037024,73.203820533307535,73.427008474114103,,,,,,
1,exact,release-signal,exact_d2/det_sign_exact,exact_d2,det_sign_exact,det_sign_exact,comparable,,2.7246048207347155,2.7235218703696562,2.7252852108085879,2.9727448009384552,2.9711808333049001,2.9736586699857512,,,,,,
1,exact,release-signal,exact_d2/solve_exact,exact_d2,solve_exact,solve_exact,comparable,,7056.9531728461234,7048.471785248601,7067.7650925445423,7103.2365596963427,7091.384964514652,7121.5409461814279,,,,,,
1,exact,release-signal,exact_d2/solve_exact_f64_result,exact_d2,solve_exact_f64_result,solve_exact_f64_result,comparable,,8275.0384273636992,8263.9776154401152,8283.7041208791197,7326.9728648190048,7315.6998400054472,7338.1031082887703,,,,,,
1,exact,release-signal,exact_d2/solve_exact_rounded_f64,exact_d2,solve_exact_rounded_f64,solve_exact_rounded_f64,comparable,,7483.8547297822024,7465.4149807508456,7492.6400165646473,7545.5059447379363,7536.4208012502068,7556.2741779497101,,,,,,
1,exact,release-signal,exact_d3/det,exact_d3,det,det,comparable,,0.81990981412770791,0.81972115749594165,0.82028127659417371,0.82052624144033937,0.81997993744612674,0.82958445547905235,,,,,,
1,exact,release-signal,exact_d3/det_direct,exact_d3,det_direct,det_direct,comparable,,0.81964968537900218,0.81945001634242298,0.81991535627519985,0.84324142759762211,0.84303959411399643,0.84358495741055417,,,,,,
1,exact,release-signal,exact_d3/det_direct_with_errbound,exact_d3,det_direct_with_errbound,det_direct_with_errbound,comparable,,3.3512944612203119,3.3497211362415991,3.3519037902029045,3.3336258051064513,3.3312802100185195,3.3352301728199736,,,,,,
