phase,benchmark_id,sample_count,mean_ns,mean_ci_lower_ns,mean_ci_upper_ns,median_ns,median_ci_lower_ns,median_ci_upper_ns,confidence_level
baseline,d16/delaunay_scaled_norm,100,10.417475887218266,10.374427178651713,10.469299012112142,10.38207506282761,10.35543221087632,10.413645510422295,0.95
baseline,d16/faer_det_from_ldlt,100,4.3469355351106085,4.320074990297426,4.3751497295343444,4.312750308986957,4.265186631489817,4.374237531514536,0.95
baseline,d16/faer_det_from_lu,100,4.758521834556962,4.726418712191502,4.792341146280208,4.757082023372915,4.671861282890748,4.808185988934918,0.95
baseline,d16/faer_det_via_lu,100,671.2463516363882,667.8436638321087,674.6504945443444,671.628704646185,665.5611022272783,677.1629375428963,0.95
baseline,d16/faer_dot_native,100,3.2946914845900994,3.2901160476316162,3.2998804360448117,3.2925578685885055,3.2864943265647324,3.2982809563299242,0.95
baseline,d16/faer_inf_norm,100,32.59951158318898,32.54691533460005,32.6553949883153,32.6629634947095,32.48680583418177,32.7108896184853,0.95
baseline,d16/faer_ldlt,100,428.64730307149,427.25759267478145,430.04277239425244,428.15073922457987,426.1369556115768,430.767227237212,0.95
baseline,d16/faer_ldlt_solve,100,626.3573719931959,624.8012725322253,628.0627963048279,626.0651040751543,624.8883984012887,627.1405832353256,0.95
baseline,d16/faer_lu,100,643.2433893700411,640.4292006158604,646.123834752141,641.7734823377252,639.3541304428741,645.6600402094592,0.95
baseline,d16/faer_lu_solve,100,905.7676851876499,903.3428909810007,908.3825793017039,903.140053398982,900.3068397120121,905.2987334534953,0.95
baseline,d16/faer_norm2_sq,100,4.0581608986134565,4.053633677536744,4.0626865649751815,4.061418910165671,4.057867207206463,4.063361062506324,0.95
baseline,d16/faer_norm_l2,100,19.64197620005565,19.558864503190378,19.736390769485716,19.512559621658163,19.483844428950857,19.578376021687426,0.95
baseline,d16/faer_solve_from_ldlt,100,182.23005868621942,181.78169340173395,182.7066618833016,181.70095034620658,181.44538356380463,182.20675387148222,0.95
baseline,d16/faer_solve_from_lu,100,261.2119456649973,259.7699679009463,262.7026806820103,258.7507552837898,255.7202506995387,262.4975472031057,0.95
baseline,d16/iterative_f64_hypot,100,52.25955375006112,51.76841553543191,52.821223769969876,51.3083376439492,51.29612063430919,51.31785204303364,0.95
baseline,d16/la_stack_det,100,434.91988073750355,432.72259342538285,437.28621071696205,433.3406678445973,430.973731884058,435.38348741418764,0.95
baseline,d16/la_stack_det_from_ldlt,100,2.8811837342068594,2.8744535362168544,2.8888149472989344,2.8806776055144336,2.875427923290627,2.8841543768439752,0.95
baseline,d16/la_stack_det_from_lu,100,3.2843009239718963,3.273603733360911,3.300238372673016,3.2763865769638247,3.270044493644869,3.2825737845844216,0.95
baseline,d16/la_stack_det_via_lu,100,406.6463906828061,404.64456021779046,408.8381983571841,403.0988278008299,402.14042726795117,404.9911825726141,0.95
baseline,d16/la_stack_dot,100,2.336413145378541,2.3308155123057896,2.342807753839651,2.32856822282391,2.3236962534881798,2.335283027809732,0.95
baseline,d16/la_stack_inf_norm,100,32.19446364846091,32.13411881914991,32.25425526079304,32.24787874940725,32.17761679960931,32.29515190662431,0.95
baseline,d16/la_stack_ldlt,100,384.3994013083504,383.5413225655956,385.35837497427025,383.3964008537058,382.42033372138144,383.9275115964833,0.95
baseline,d16/la_stack_ldlt_solve,100,425.3757332799403,424.8476263834726,425.9331455719121,425.3746801911958,424.94756970145573,425.8154739209009,0.95
baseline,d16/la_stack_lu,100,395.1824833219339,393.93534147970405,396.5554304584479,393.7731542611066,392.7855137241419,394.9719213798636,0.95
baseline,d16/la_stack_lu_solve,100,642.6996891047229,640.9560761119145,644.645918477699,640.8175336496852,639.3896331978524,641.452487730252,0.95
baseline,d16/la_stack_norm2_sq,100,2.058466784153448,2.0541839563498567,2.0625997841364017,2.063000931581313,2.0585849830533745,2.0654378654830685,0.95
baseline,d16/la_stack_solve_from_ldlt,100,27.772205713843505,27.744027217406177,27.801945050202423,27.74973351728987,27.716402195047927,27.791723998444603,0.95
baseline,d16/la_stack_solve_from_lu,100,190.56455421217993,189.3781290322276,191.88157471652417,187.96262283493763,187.58889885483666,188.61136663524977,0.95
baseline,d16/nalgebra_cholesky,100,397.4180159552681,396.5023017802842,398.4579608305587,396.9967265057837,396.61820885279656,397.5952895649853,0.95
baseline,d16/nalgebra_cholesky_solve,100,608.533909860143,606.6756869100828,610.7213806021009,607.4326689889276,606.5962095915602,608.8431751375567,0.95
baseline,d16/nalgebra_det_from_cholesky,100,1.6819286515264893,1.6767980145429948,1.6871627489596714,1.6869694530351844,1.6820282940336735,1.691833066370803,0.95
baseline,d16/nalgebra_det_from_lu,100,1.7732255639612253,1.7643432227192395,1.7823716371677432,1.766546064259014,1.7584242199581148,1.7734081843208913,0.95
baseline,d16/nalgebra_det_via_lu,100,448.58680705749117,447.7575067363704,449.3938294622854,449.4561034438153,448.40147721045486,450.3217221319177,0.95
baseline,d16/nalgebra_dot,100,1.8607524958653157,1.8569338108426903,1.8646678974762771,1.8602276927511512,1.8592289616619428,1.860930162217945,0.95
baseline,d16/nalgebra_inf_norm,100,31.34992142755309,31.31074716750352,31.392431992102487,31.353979063243642,31.335346507565713,31.379620025715106,0.95
baseline,d16/nalgebra_lu,100,454.2665123588504,453.5603905983032,455.0266374262889,453.80245729277374,452.9381517888407,454.1445917932735,0.95
baseline,d16/nalgebra_lu_solve,100,569.4667514879011,568.4065742091103,570.5566900458234,569.4458712557102,568.9098484848485,569.9060010943388,0.95
baseline,d16/nalgebra_norm,100,1.5961999317242423,1.5921770701216604,1.6006862076995303,1.5928659947807657,1.5873881379211365,1.5942739457275321,0.95
baseline,d16/nalgebra_norm_squared,100,1.4762011241141872,1.474209955052152,1.4782982431202705,1.4771868874299177,1.4761062369740032,1.4780276761745883,0.95
baseline,d16/nalgebra_solve_from_cholesky,100,115.86677312477583,115.65766721737809,116.094141750232,116.06720734784034,115.68642951109564,116.22006269896731,0.95
baseline,d16/nalgebra_solve_from_lu,100,92.17464670212759,91.9917781696586,92.36699966858508,92.24934771869499,92.11129332093321,92.34965026939773,0.95
baseline,d2/delaunay_scaled_norm,100,1.236210798930626,1.233415505411079,1.2391914590147952,1.236581835099707,1.2340266566028177,1.2379444975666487,0.95
baseline,d2/faer_det_from_ldlt,100,0.5519276334566036,0.5502585682236006,0.5537126717764276,0.5485047762006635,0.5477026978008944,0.5504449634487478,0.95
baseline,d2/faer_det_from_lu,100,0.7533553846916005,0.7478377469617464,0.7596675648657162,0.7432466239490834,0.7431845690490781,0.7434227688924671,0.95
baseline,d2/faer_det_via_lu,100,135.55614677248602,133.57092427300532,137.71157065406442,131.68361099747773,131.10937944410747,132.03241713110734,0.95
baseline,d2/faer_dot_native,100,2.595818104035834,2.572532931536192,2.6198117060900317,2.502146929625926,2.489087121305878,2.683038093322199,0.95
baseline,d2/faer_inf_norm,100,0.6828974532250275,0.6797832670362977,0.6861859010988165,0.6721530623677812,0.6717768401580549,0.6726867144060416,0.95
baseline,d2/faer_ldlt,100,98.3439334459175,98.0208996778536,98.68276773169498,97.97341504582243,97.64644532655518,98.35525398680412,0.95
baseline,d2/faer_ldlt_solve,100,145.782899469564,145.06197831814015,146.50604882106114,145.8555382031095,143.473177053984,147.26974942140896,0.95
baseline,d2/faer_lu,100,123.08118999896455,122.03525493685353,124.17988820383604,120.85079986178687,120.03323306309831,121.7131579520799,0.95
baseline,d2/faer_lu_solve,100,182.89347321546978,182.34074480316477,183.51918773542286,182.53202843068811,182.06757130922546,183.01508533237856,0.95
