D,la_stack,la_lo,la_hi,nalgebra,na_lo,na_hi,faer,fa_lo,fa_hi
2,2.0211314276372025,2.018479942281156,2.0445438481191816,4.4787720282632115,4.471223731681299,4.488903340683946,182.53202843068811,182.06757130922546,183.01508533237856
3,9.976848651948877,9.898381116607712,10.025906395438968,22.79479095228905,22.713611901221796,22.98916653289352,217.56680047835044,216.1785685588016,219.0290055716943
4,22.101084470745356,22.061056744915724,22.141461025001234,51.73926857369151,51.47900780022614,51.91779016092275,241.52526920712,239.31700735578784,243.22749256395002
5,46.069581545860736,45.98934031334168,46.10755327054004,69.0025585241594,68.86491194918514,69.16905109997215,326.84830597342926,324.0143975251199,361.58151429914557
8,128.36396548733447,128.19900330404025,128.65769248327663,165.93327075645942,164.8158130758386,168.9136037004555,401.4003419166195,396.02358647682604,407.0685093415357
16,643.5320021938804,641.4668189353472,644.9028128940731,569.4458712557102,568.9098484848485,569.9060010943388,903.140053398982,900.3068397120121,905.2987334534953
32,2755.7729402136074,2752.579773568824,2761.0723724010572,2710.234582397889,2703.7424869037773,2717.3389959916017,2919.2900818850267,2913.423424369748,2925.1436105476673
64,17518.63433908046,17364.270300333705,17558.53448275862,14313.979335187058,14297.097222222223,14348.511153198653,12108.782627752282,12092.033074648929,12120.978128313891
