D,la_stack,la_lo,la_hi,nalgebra,na_lo,na_hi
2,2.124532914367211,2.09971523996188,2.140164099914812,19.17217328467681,18.879067968718168,19.28482481777221
3,13.561910796179443,13.524685753541656,13.620824746096288,24.082432810332314,23.94661978721645,24.233110558617877
4,28.365434970029426,28.115956502260637,28.502018158281214,55.43414489536336,54.85631819804828,55.91912759333677
5,48.5674565592533,47.968475042662924,48.699512778705056,76.79332103126086,75.63044466439385,77.34876828329485
8,141.9353177287798,140.58909817870264,142.80253467051537,182.6280500376712,181.07586039158457,184.98799180091783
16,642.9353974725984,635.2079326923077,653.6867862529627,605.1153810926868,600.7585890927475,613.4346656932975
32,2761.8159597172203,2748.3301012712777,2778.877640467952,2505.6908196956647,2491.7890656874747,2545.825832615561
64,17009.207815892314,16940.164226190478,17056.327922077922,14696.410081665515,14596.956030459347,14746.887774061686
